"xtmp","power_x","power_x_l","power_x_u","power_x_cl","power_x_cu","precision_x","precision_x_l","precision_x_u","precision_x_cl","precision_x_cu","no_clusters_x","no_clusters_l","no_clusters_u","no_clusters_cl","no_clusters_cu"
124,0.20579544504809,0.20579544504809,0.20579544504809,0.205395982721484,0.206196557786171,80690.7087359187,80690.7087359187,80690.7087359187,80531.3139685515,80850.7357313605,6,6,6,6,6
125,0.207422861286814,0.207422861286814,0.207422861286814,0.207016684691244,0.207830728158959,81339.8173242185,81339.8173242185,81339.8173242185,81177.8503442817,81502.4319130314,6,6,6,6,6
126,0.209051269770996,0.209051269770996,0.209051269770996,0.20863832676671,0.209465943492225,81988.9000108567,81988.9000108567,81988.9000108567,81824.3403749796,82154.1228832381,6,6,6,6,6
127,0.21068064011759,0.21068064011759,0.21068064011759,0.210260878809321,0.211102173159637,82637.9567973838,82637.9567973838,82637.9567973838,82470.7840656278,82805.8086420434,6,6,6,6,6
128,0.21231094205719,0.21231094205719,0.21231094205719,0.211884310797592,0.212739386644972,83286.9876853497,83286.9876853497,83286.9876853497,83117.1814212089,83457.4891895096,6,6,6,6,6
129,0.213942145435977,0.213942145435977,0.213942145435977,0.213508592829017,0.214377553544123,83935.9926763049,83935.9926763049,83935.9926763049,83763.5324467043,84109.1645256994,6,6,6,6,6
130,0.215574220217575,0.215574220217575,0.215574220217575,0.215133695121866,0.216016643566992,84584.971771799,84584.971771799,84584.971771799,84409.8371470947,84760.8346506752,6,6,6,6,6
131,0.217207136484809,0.217207136484809,0.217207136484809,0.216759588016893,0.217656626539309,85233.9249733819,85233.9249733819,85233.9249733819,85056.0955273606,85412.4995644995,6,6,6,6,6
132,0.218840864441374,0.218840864441374,0.218840864441374,0.218386241978965,0.219297472404346,85882.8522826034,85882.8522826034,85882.8522826034,85702.307592481,86064.1592672348,6,6,6,6,6
133,0.220475374413427,0.220475374413427,0.220475374413427,0.220013627598589,0.220939151224562,86531.753701013,86531.753701013,86531.753701013,86348.4733474348,86715.8137589437,6,6,6,6,6
134,0.222110636851091,0.222110636851091,0.222110636851091,0.221641715593383,0.222581633183154,87180.6292301601,87180.6292301601,87180.6292301601,86994.5927972,87367.4630396886,6,6,6,6,6
135,0.223746622329893,0.223746622329893,0.223746622329893,0.223270476809446,0.224224888585541,87829.4788715942,87829.4788715942,87829.4788715942,87640.6659467538,88019.1071095321,6,6,6,6,6
136,0.225383301552113,0.225383301552113,0.225383301552113,0.224899882222679,0.225868887860772,88478.3026268643,88478.3026268643,88478.3026268643,88286.6928010727,88670.7459685367,6,6,6,6,6
137,0.227020645348081,0.227020645348081,0.227020645348081,0.226529902940014,0.22751360156286,89127.1004975196,89127.1004975196,89127.1004975196,88932.6733651328,89322.3796167648,6,6,6,6,6
138,0.228658624677393,0.228658624677393,0.228658624677393,0.228160510200594,0.229159000372055,89775.872485109,89775.872485109,89775.872485109,89578.6076439088,89974.0080542789,6,6,6,6,6
139,0.230297210630071,0.230297210630071,0.230297210630071,0.229791675376882,0.230805055096047,90424.6185911814,90424.6185911814,90424.6185911814,90224.4956423756,90625.6312811416,6,6,6,6,6
140,0.231936374427657,0.231936374427657,0.231936374427657,0.231423369975703,0.232451736671112,91073.3388172855,91073.3388172855,91073.3388172855,90870.3373655066,91277.2492974154,6,6,6,6,6
141,0.233576087424253,0.233576087424253,0.233576087424253,0.233055565639241,0.234099016163196,91722.0331649698,91722.0331649698,91722.0331649698,91516.1328182748,91928.8621031627,6,6,6,6,6
142,0.2352163211075,0.2352163211075,0.2352163211075,0.23468823414597,0.235746864768942,92370.7016357829,92370.7016357829,92370.7016357829,92161.8820056526,92580.469698446,6,6,6,6,6
143,0.236857047099504,0.236857047099504,0.236857047099504,0.236321347411531,0.237395253816667,93019.344231273,93019.344231273,93019.344231273,92807.5849326115,93232.072083328,6,6,6,6,6
144,0.238498237157714,0.238498237157714,0.238498237157714,0.237954877489567,0.239044154767281,93667.9609529883,93667.9609529883,93667.9609529883,93453.2416041223,93883.6692578709,6,6,6,6,6
145,0.240139863175749,0.240139863175749,0.240139863175749,0.239588796572495,0.240693539215164,94316.5518024771,94316.5518024771,94316.5518024771,94098.8520251553,94535.2612221374,6,6,6,6,6
